title,link,description,date,source
"Long Before Nikola Trucks, Trevor Milton Sold Investors on Startups That Faded - The Wall Street Journal",https://www.wsj.com/articles/nikola-electric-hydrogen-trucks-trevor-milton-11601575695," href=""https://www.wsj.com/articles/nikola-electric-hydrogen-trucks-trevor-milton-11601575695"" target=""_blank"">Long Before Nikola Trucks, Trevor Milton Sold Investors on Startups That Faded</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font",2020-10-01 07:00:00+00:00,The Wall Street Journal
Badass boy who misses home - Mid-day,https://www.mid-day.com/articles/badass-boy-who-misses-home-vijay-mallya/23046277," href=""https://www.mid-day.com/articles/badass-boy-who-misses-home-vijay-mallya/23046277"" target=""_blank"">Badass boy who misses home</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-day</font",2020-10-18 02:39:00+00:00,Mid-day
Grenke leasing accused of 'Ponzi scheme' - betterRetailing,https://www.betterretailing.com/shop-equipment/grenke-leasing-finance-fraud-rhino-media-viewable-media/," href=""https://www.betterretailing.com/shop-equipment/grenke-leasing-finance-fraud-rhino-media-viewable-media/"" target=""_blank"">Grenke leasing accused of 'Ponzi scheme'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">betterRetailing</font",2020-09-28 07:00:00+00:00,betterRetailing
Lawyer of accused Kenosha shooter resigns from defense fund - Washington Post,https://www.washingtonpost.com/national/lawyer-of-accused-kenosha-shooter-resigns-from-defense-fund/2020/09/05/834a2482-efb4-11ea-bd08-1b10132b458f_story.html," href=""https://www.washingtonpost.com/national/lawyer-of-accused-kenosha-shooter-resigns-from-defense-fund/2020/09/05/834a2482-efb4-11ea-bd08-1b10132b458f_story.html"" target=""_blank"">Lawyer of accused Kenosha shooter resigns from defense fund</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Washington Post</font",2020-09-05 07:00:00+00:00,Washington Post
BPCL pays for defaulting Videocon in Brazil oil block - ETEnergyworld.com,https://energy.economictimes.indiatimes.com/news/oil-and-gas/bpcl-pays-for-defaulting-videocon-in-brazil-oil-block/78355979," href=""https://energy.economictimes.indiatimes.com/news/oil-and-gas/bpcl-pays-for-defaulting-videocon-in-brazil-oil-block/78355979"" target=""_blank"">BPCL pays for defaulting Videocon in Brazil oil block</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETEnergyworld.com</font",2020-09-28 01:19:19+00:00,ETEnergyworld.com
Premier League launches legal action against Chinese broadcaster - Sport Industry Group,https://www.sportindustry.biz/news/premier-league-launches-legal-action-against-chinese-broadcaster," href=""https://www.sportindustry.biz/news/premier-league-launches-legal-action-against-chinese-broadcaster"" target=""_blank"">Premier League launches legal action against Chinese broadcaster</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sport Industry Group</font",2020-10-08 07:00:00+00:00,Sport Industry Group
"Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings - Hindustan Times",https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html," href=""https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html"" target=""_blank"">Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-06 07:00:00+00:00,Hindustan Times
Is this like then? Life in Memphis amid COVID-19 today and in the 1930s Great Depression | Evanoff - The Commercial Appeal,https://www.commercialappeal.com/story/money/columnists/ted-evanoff/2020/10/26/comparing-memphis-amid-covid-19-today-and-great-depression/3643308001/," href=""https://www.commercialappeal.com/story/money/columnists/ted-evanoff/2020/10/26/comparing-memphis-amid-covid-19-today-and-great-depression/3643308001/"" target=""_blank"">Is this like then? Life in Memphis amid COVID-19 today and in the 1930s Great Depression | Evanoff</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Commercial Appeal</font",2020-10-26 02:05:07+00:00,The Commercial Appeal
Car defaulting on 99 e-challans impounded - The News International,https://www.thenews.com.pk/print/722724-car-defaulting-on-99-e-challans-impounded," href=""https://www.thenews.com.pk/print/722724-car-defaulting-on-99-e-challans-impounded"" target=""_blank"">Car defaulting on 99 e-challans impounded</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News International</font",2020-10-01 07:00:00+00:00,The News International
New Twist In Arizona Racing Saga Tabled As Commission Requests Hearing On Monarch Contracts - Horse Racing News - Paulick Report,https://www.paulickreport.com/news/the-biz/new-twist-in-arizona-racing-saga-tabled-as-commission-requests-hearing-on-monarch-contracts/," href=""https://www.paulickreport.com/news/the-biz/new-twist-in-arizona-racing-saga-tabled-as-commission-requests-hearing-on-monarch-contracts/"" target=""_blank"">New Twist In Arizona Racing Saga Tabled As Commission Requests Hearing On Monarch Contracts - Horse Racing News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Paulick Report</font",2020-10-08 07:00:00+00:00,Paulick Report
"Historian Timothy Snyder warns that America is already in its own ""slow-motion Reichstag Fire"" - Salon",https://www.salon.com/2020/10/18/historian-timothy-snyder-warns-that-america-is-already-in-its-own-slow-motion-reichstag-fire/," href=""https://www.salon.com/2020/10/18/historian-timothy-snyder-warns-that-america-is-already-in-its-own-slow-motion-reichstag-fire/"" target=""_blank"">Historian Timothy Snyder warns that America is already in its own ""slow-motion Reichstag Fire""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Salon</font",2020-10-18 07:00:00+00:00,Salon
"United Fiber & Data, Appell family say CEO Bill Hynes used funds as ‘personal piggy bank’ - York Daily Record",https://www.ydr.com/story/news/watchdog/2020/10/06/united-fiber-data-sues-former-ceo-hynes-taylor-alleging-fraud/3631527001/," href=""https://www.ydr.com/story/news/watchdog/2020/10/06/united-fiber-data-sues-former-ceo-hynes-taylor-alleging-fraud/3631527001/"" target=""_blank"">United Fiber & Data, Appell family say CEO Bill Hynes used funds as ‘personal piggy bank’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">York Daily Record</font",2020-10-06 07:00:00+00:00,York Daily Record
Brexit: Are Trade Negotiations Deadlocked Or Just Dead? - International Law - UK - Mondaq News Alerts,https://www.mondaq.com/uk/international-trade-investment/998320/brexit-are-trade-negotiations-deadlocked-or-just-dead," href=""https://www.mondaq.com/uk/international-trade-investment/998320/brexit-are-trade-negotiations-deadlocked-or-just-dead"" target=""_blank"">Brexit: Are Trade Negotiations Deadlocked Or Just Dead? - International Law - UK</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mondaq News Alerts</font",2020-10-27 02:32:49+00:00,Mondaq News Alerts
"Barbed wire, prisoner swaps, and Nutella and tyre survival tactics: The Cheat Sheet - The New Humanitarian",https://www.thenewhumanitarian.org/news/2020/10/16/Bangladesh-Rohingya-barbed-wire-Yemen-prisoner-swaps-Maracaibo-scenes-cheat-sheet," href=""https://www.thenewhumanitarian.org/news/2020/10/16/Bangladesh-Rohingya-barbed-wire-Yemen-prisoner-swaps-Maracaibo-scenes-cheat-sheet"" target=""_blank"">Barbed wire, prisoner swaps, and Nutella and tyre survival tactics: The Cheat Sheet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Humanitarian</font",2020-10-16 07:00:00+00:00,The New Humanitarian
The Energy Bulletin Weekly: 26 October 2020 - Resilience,https://www.resilience.org/stories/2020-10-26/the-energy-bulletin-weekly-26-october-2020/," href=""https://www.resilience.org/stories/2020-10-26/the-energy-bulletin-weekly-26-october-2020/"" target=""_blank"">The Energy Bulletin Weekly: 26 October 2020</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Resilience</font",2020-10-26 14:13:18+00:00,Resilience
"Intend to file legal case against agency, says model Arlette Grao - Mid-day",https://www.mid-day.com/articles/intend-to-file-legal-case-against-agency-says-model-arlette-grao/23012204," href=""https://www.mid-day.com/articles/intend-to-file-legal-case-against-agency-says-model-arlette-grao/23012204"" target=""_blank"">Intend to file legal case against agency, says model Arlette Grao</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-day</font",2020-09-28 07:00:00+00:00,Mid-day
Will Lebanese banks be merged? - AlKhaleej Today,https://alkhaleejtoday.co/international/5195536/Will-Lebanese-banks-be-merged.html," href=""https://alkhaleejtoday.co/international/5195536/Will-Lebanese-banks-be-merged.html"" target=""_blank"">Will Lebanese banks be merged?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AlKhaleej Today</font",2020-10-26 06:31:18+00:00,AlKhaleej Today
Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses... - Live Law,https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550," href=""https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550"" target=""_blank"">Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Law</font",2020-10-15 07:00:00+00:00,Live Law
Icon garage pulls COVID con on landlord - Real Estate Weekly,https://rew-online.com/icon-garage-pulls-covid-con-on-landlord/," href=""https://rew-online.com/icon-garage-pulls-covid-con-on-landlord/"" target=""_blank"">Icon garage pulls COVID con on landlord</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Real Estate Weekly</font",2020-10-13 07:00:00+00:00,Real Estate Weekly
HC refuses blanket order on plea by Unitech MD to allow physical presence for mediation - ETRealty.com,https://realty.economictimes.indiatimes.com/news/regulatory/hc-refuses-blanket-order-on-plea-by-unitech-md-to-allow-physical-presence-for-mediation/78869991," href=""https://realty.economictimes.indiatimes.com/news/regulatory/hc-refuses-blanket-order-on-plea-by-unitech-md-to-allow-physical-presence-for-mediation/78869991"" target=""_blank"">HC refuses blanket order on plea by Unitech MD to allow physical presence for mediation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-26 09:36:14+00:00,ETRealty.com
Kenya: Boda Boda Rider Charged for Selling Motorbike He Bought on Hire Purchase - AllAfrica.com,https://allafrica.com/stories/202010010112.html," href=""https://allafrica.com/stories/202010010112.html"" target=""_blank"">Kenya: Boda Boda Rider Charged for Selling Motorbike He Bought on Hire Purchase</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AllAfrica.com</font",2020-09-30 07:00:00+00:00,AllAfrica.com
Wells Fargo Says Workers Tried to Access Covid Aid Funds - The New York Times,https://www.nytimes.com/live/2020/10/14/business/us-economy-coronavirus," href=""https://www.nytimes.com/live/2020/10/14/business/us-economy-coronavirus"" target=""_blank"">Wells Fargo Says Workers Tried to Access Covid Aid Funds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-20 18:24:00+00:00,The New York Times
Zambia is now first African country to suspend debt service payments on loans due to COVID-19 - Face2Face Africa,https://face2faceafrica.com/article/zambia-becomes-first-african-country-to-suspend-debt-service-payments-on-loans-due-to-covid-1912," href=""https://face2faceafrica.com/article/zambia-becomes-first-african-country-to-suspend-debt-service-payments-on-loans-due-to-covid-1912"" target=""_blank"">Zambia is now first African country to suspend debt service payments on loans due to COVID-19</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Face2Face Africa</font",2020-09-25 07:00:00+00:00,Face2Face Africa
Boda boda rider charged for selling motorbike he bought on hire purchase - Nairobi News,https://nairobinews.nation.co.ke/editors-picks/boda-boda-rider-charged-for-selling-motorbike-he-bought-on-hire-purchase," href=""https://nairobinews.nation.co.ke/editors-picks/boda-boda-rider-charged-for-selling-motorbike-he-bought-on-hire-purchase"" target=""_blank"">Boda boda rider charged for selling motorbike he bought on hire purchase</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nairobi News</font",2020-09-30 07:00:00+00:00,Nairobi News
"Marin IJ Readers’ Forum for Oct. 14, 2020 - Marin Independent Journal",https://www.marinij.com/2020/10/13/marin-ij-readers-forum-for-oct-14-2020/," href=""https://www.marinij.com/2020/10/13/marin-ij-readers-forum-for-oct-14-2020/"" target=""_blank"">Marin IJ Readers’ Forum for Oct. 14, 2020</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Marin Independent Journal</font",2020-10-13 07:00:00+00:00,Marin Independent Journal
